"","PRICE","NROOM","NBATH","PATIO","FIREPL","AC","BMENT","NSTOR","GAR","AGE","SQFT"
"1",47,4,1,0,0,0,2,3,0,148,11.25
"2",113,7,2.5,1,1,1,2,2,2,9,28.92
"3",165,7,2.5,1,1,0,3,2,2,23,30.62
"4",104.3,7,2.5,1,1,1,2,2,2,5,26.12
"5",62.5,7,1.5,1,1,0,2,2,0,19,22.04
"6",70,6,2.5,1,1,0,3,3,1,20,39.42
"7",127.5,6,2.5,1,1,1,3,1,2,20,21.88
"8",53,8,1.5,1,0,0,0,3,0,22,36.72
"9",64.5,6,1,1,1,1,3,2,0,22,25.6
"10",145,7,2.5,1,1,1,3,2,2,4,44.12
"11",63.5,6,2,0,1,0,2,2,0,23,19.88
"12",58.9,5,2,0,1,1,0,1,0,20,12.08
"13",65,4,2,0,0,0,3,1,0,30,10.99
"14",52,5,1,1,0,1,3,2,0,20,13.6
"15",48,5,1.5,0,0,0,2,2,0,18,12.8
"16",3.5,9,3,0,0,0,2,3,0,75,29.79
"17",12.8,5,1,1,0,0,2,2,0,60,14.3
"18",17.5,5,1,0,0,0,3,2,0,65,13.72
"19",36,5,1.5,0,0,0,2,2,0,14,11.84
"20",41.9,6,1,0,0,0,3,2,0,45,18.06
"21",53.5,5,1.5,0,0,0,3,1,0,14,10.72
"22",24.5,4,1,0,0,0,3,2,0,22,8.96
"23",24.5,5,1,0,0,0,2,2,0,35,14.38
"24",55.5,5,2.5,0,0,1,3,3,0,5,36.75
"25",60,6,2,1,0,1,2,2,2,60,20
"26",51,7,1.5,0,1,1,2,2,0,14,22.82
"27",46,6,2.5,1,0,1,0,2,0,19,24.86
"28",46,5,1.5,0,0,0,2,2,0,11,19.2
"29",44,5,1.5,0,0,1,2,1,0,16,11.58
"30",54.9,5,2,0,0,1,1,2,0,19,26
"31",42.5,6,2,1,0,0,2,2,0,17,14.4
"32",44,6,1.5,0,1,0,2,1,0,24,11.62
"33",44.9,5,1.5,0,0,0,2,2,0,22,23.08
"34",37.9,6,1,0,0,0,2,3,0,27,23.76
"35",33,5,1.5,0,0,1,0,2,0,3,15.6
"36",43.9,5,1.5,0,0,1,3,1,0,21,10
"37",49.6,6,1.5,1,0,0,1,2,0,20,22.8
"38",52,5,2.5,0,1,1,2,2,0,4,16.76
"39",45.5,6,2.5,0,0,0,2,2,0,24,18.6
"40",37.5,7,2,0,1,0,2,2,1,40,22.1
"41",50,5,2,0,1,0,2,2,0,23,14.28
"42",35.9,5,1.5,0,1,0,2,2,0,35,15.36
"43",42.9,6,2,0,0,0,2,2,0,25,16
"44",107,6,2.5,0,1,1,2,1,0,17,23.04
"45",112,5,3.5,0,1,1,2,2,1,26,24.94
"46",44.9,5,1.5,0,0,1,2,1,0,15,11.82
"47",55,5,1.5,0,1,0,2,2,0,29,12.88
"48",102,5,2,0,1,1,2,1,0,24,11.2
"49",35.5,5,1,1,0,0,0,2,0,30,18.12
"50",62.9,6,3.5,0,0,0,2,3,1,19,38.25
"51",39,6,2.5,0,1,0,2,2,1,50,17.68
"52",110,6,2.5,1,1,1,3,1,0,18,19.02
"53",8,4,1,0,1,0,0,2,0,74,32.8
"54",62,5,3,0,1,1,2,1,0,22,15.16
"55",60,7,1,0,1,0,1,3,0,80,25.08
"56",85.9,5,2,1,0,1,2,1.5,0,24,21.975
"57",57,5,2.5,0,0,1,3,1,0,20,12.6
"58",110,7,3,1,1,1,2,2,0,7,23.52
"59",67.7,5,1.5,0,1,0,3,2,0,47,17.52
"60",89.5,10,3.5,1,1,0,3,3,1,50,47.61
"61",70,6,2,1,1,0,3,2.5,0,45,20.55
"62",74,8,2.5,1,1,1,2,3,2,48,35.52
"63",22.9,5,1,0,0,0,1,2,0,50,14.4
"64",13,4,1,0,0,0,2,2,0,50,8.4
"65",48,5,1,0,0,0,2,2,2,48,13.68
"66",24,5,1.5,0,0,0,2,2,0,55,14.48
"67",53.5,5,1.5,0,0,0,3,2,0,27,12.8
"68",34.5,5,1.5,0,1,0,3,2,0,20,12.8
"69",53,5,1.5,0,0,0,3,3,0,33,18
"70",87.5,6,1,0,1,0,2,2,3,40,15.4
"71",33.5,5,1,0,0,1,2,2,0,25,10.08
"72",24,5,1,0,0,1,3,2,0,25,8.96
"73",9.6,5,1,0,0,0,2,2,0,40,8.96
"74",30,5,2.5,0,0,0,3,2.5,0,30,20
"75",41,5,1.5,0,0,0,3,2,1,40,12.88
"76",30,3,2,0,0,0,2,2,0,22,12
"77",38.9,5,3,0,0,0,3,2,0,25,18.16
"78",20.7,5,2,0,0,0,2,2,0,29,14.28
"79",49.9,9,3,0,1,0,2,2.5,2,49,26
"80",18.6,6,1.5,0,0,0,2,2,0,35,12.02
"81",39,6,2,0,0,0,2,2,1,55,20.8
"82",34,5,1.5,0,0,0,2,2,0,30,11.78
"83",16,4,1.5,0,0,0,2,2,0,15,8.68
"84",18.9,6,2,0,0,0,2,2,0,40,17.6
"85",15.2,5,1,0,0,0,2,2,0,35,11.4
"86",41.5,9,2,0,1,0,2,3,0,70,44.55
"87",53,10,5,0,1,0,2,2,2,25,46.32
"88",22,5,2,0,0,0,2,2,0,25,10.24
"89",24.9,5,1.5,0,0,0,2,2,0,30,9.6
"90",6.7,4,1,0,0,0,2,3,0,30,31.2
"91",32.5,4,3,0,0,0,2,2,0,50,26.4
"92",30,5,2,0,0,0,3,2,0,25,13.6
"93",59,8,2,0,0,0,2,3,1,70,27.48
"94",29.5,6,1,0,0,0,2,2,2,55,17.86
"95",26,6,1,0,1,0,2,2,1,40,18.04
"96",16.5,4,2,0,0,0,2,2,0,70,14.84
"97",39,5,1,0,0,0,0,1,0,20,10.46
"98",48.9,5,2,0,0,0,3,2,0,20,14.56
"99",33.5,3,1,0,0,0,2,1,0,25,6.96
"100",46,4,1.5,1,0,0,2,1,0,18,9.5
"101",54,5,1,0,0,0,0,1,0,20,11.86
"102",57.9,4,1.5,0,1,0,2,1,0,2,12.88
"103",37.9,5,1.5,1,0,1,3,2,0,8,12.32
"104",32,3,1,0,0,0,0,1,0,25,6.72
"105",31,5,1.5,0,0,0,3,2,0,18,10.08
"106",34,6,1,0,0,0,2,2,0,30,15.6
"107",29,3,1,0,0,0,0,1,0,35,6.72
"108",32.5,5,1.5,0,0,0,3,2,0,21,11.52
"109",51.9,5,1.5,1,0,0,2,1,0,20,11.76
"110",31,5,1,0,0,0,2,2,0,24,10.24
"111",41.8,6,1.5,0,0,1,3,2,0,13,11.52
"112",48,4,1,0,0,0,2,1,0,25,9.28
"113",28,3,1,0,0,0,2,1,0,18,6.72
"114",35,5,1,0,0,0,2,2,0,30,15.6
"115",46.5,5,1,0,1,0,2,2,2,20,15.5
"116",51.9,5,2,0,0,0,2,1,0,22,9.84
"117",35.4,4,1,0,0,0,0,2,0,28,15.6
"118",16,3,2,0,0,0,2,2,0,50,13.76
"119",35,5,1.5,0,0,0,3,2,0,20,10.24
"120",35,4,1,0,0,0,0,1,0,38,5.76
"121",36.5,4,1,1,0,0,2,2,0,17,10.08
"122",35.9,5,1.5,0,0,0,3,2,0,22,11.52
"123",45,5,1,0,0,0,2,1.5,0,27,12.15
"124",40,4,1,0,0,0,2,1,0,25,9.77
"125",35,5,1,0,0,0,0,2,0,25,15
"126",38,5,1,0,0,0,0,2,1,25,14.4
"127",37,4,1,0,0,0,0,2,0,30,14.5
"128",23,7,2,0,0,0,1,2,0,60,22.54
"129",25.5,4,1,0,0,0,0,2,0,22,10.24
"130",39.5,3,1,0,0,0,2,1,0,30,7.8
"131",21.5,4,1,0,0,0,2,2,0,28,8.4
"132",9,5,1,0,0,0,2,2,1,45,10.92
"133",67.5,8,3,0,1,0,2,3,0,100,42.9
"134",13.4,3,1,0,0,0,0,2,0,60,9
"135",12.5,5,1,0,0,0,0,2,0,50,10.5
"136",28.5,5,1.5,0,0,0,2,2,1,35,10.08
"137",23,5,1.5,0,0,0,2,2,0,50,12.6
"138",33.5,4,1,1,0,0,3,2,0,24,8.96
"139",9,4,1,0,0,0,2,2,0,50,8.58
"140",11,3,1,0,0,0,2,2,0,33,7.56
"141",30.9,5,1,0,0,0,2,2,0,40,10.8
"142",31.65,6,2,0,1,0,2,2,0,50,13.44
"143",33,5,1,0,0,0,2,2,0,25,10.24
"144",33.4,5,1,0,0,0,0,2,0,48,14.44
"145",47,5,1.5,0,0,1,2,2,0,10,12.24
"146",40,4,1,0,0,0,2,1.5,0,45,13.2
"147",46,5,1.5,0,0,0,3,1,0,20,9.6
"148",45.5,5,1,0,1,1,0,1,0,25,15.22
"149",57,6,1.5,0,0,0,2,2,0,25,24.16
"150",29.9,4,1,0,0,0,0,2,0,22,10.24
"151",30,4,1,0,0,0,0,2,0,21,10.24
"152",34,5,1,0,1,0,2,1,0,29,9.88
"153",51,6,1.5,1,1,1,3,2,1,18,23.2
"154",64.5,6,2.5,0,0,1,0,2,0,2,17.68
"155",57.5,5,1.5,0,0,0,2,2,0,19,24.3
"156",85.5,6,1.5,0,1,0,2,2,2,49,35.94
"157",61,6,1.5,0,0,1,0,2,0,10,21.6
"158",38,5,1,0,0,1,2,2,0,25,11.02
"159",56.5,6,1.5,0,0,0,0,2,0,16,21
"160",60.4,5,1.5,0,1,0,3,2,1,17,23.92
"161",51.5,5,2,0,0,0,2,2,0,27,14.4
"162",54,4,1.5,0,0,0,2,2,1,34,28
"163",69,5,2.5,0,1,1,3,1,0,2,11.44
"164",56,5,1,0,0,0,3,2,0,24,21.94
"165",27.9,5,1.5,0,0,0,2,2,0,23,10.24
"166",37.5,6,1,0,0,0,2,2,2,40,16.86
"167",32.9,5,1.5,0,0,0,3,2,0,25,9.92
"168",22,5,1,0,1,0,2,2,0,45,13.44
"169",29.9,5,2,0,0,0,3,2,0,26,12
"170",39.9,5,2,0,0,0,3,2,0,37,14.76
"171",32.6,4,1,0,0,1,2,2,0,15,8.96
"172",38.5,5,1.5,0,0,0,3,2,0,22,11.52
"173",21.5,4,1,0,0,0,3,2,0,75,8.64
"174",25.9,4,1,0,0,0,2,2,0,28,8.12
"175",27.5,5,1,0,0,0,3,2,0,31,11.12
"176",22.9,5,1,0,0,0,2,2,0,100,11.28
"177",31.5,4,1.5,0,0,0,2,2,0,15,10.36
"178",8.5,4,1,0,0,0,0,2,0,80,11.52
"179",5.5,3,1,0,0,0,2,3,0,75,17.1
"180",33,4,1.5,0,0,0,3,2,0,23,17.52
"181",57,5,1.5,0,0,1,2,1,0,15,10.73
"182",47,5,1,0,0,1,0,1,0,21,11.2
"183",43.5,4,1.5,0,0,1,2,2,0,2,12.8
"184",43.9,5,1.5,1,0,0,3,2,0,25,12
"185",68.5,6,2,1,1,0,3,3,0,23,41.07
"186",44.25,5,1.5,0,0,1,2,2,0,0,12.8
"187",61,5,2.5,1,0,1,3,2,0,4,22.36
"188",40,5,1,0,0,0,2,2,1,40,10.56
"189",44.5,5,1.5,0,0,0,2,2,1,55,13.44
"190",57,5,1,0,0,0,2,1,0,21,11.02
"191",35,5,1,0,0,0,2,2,0,45,17.98
"192",35.1,7,2.5,0,0,0,2,2,0,50,18.88
"193",64.5,5,2,0,0,1,3,1,0,5,11.76
"194",40,4,1.5,0,0,0,2,1,1,50,9.36
"195",42.6,5,1,0,0,0,3,2,0,22,11.52
"196",50,5,1.5,0,0,0,3,3,0,22,27.3
"197",58,6,2,0,0,1,3,2,0,6,23.04
"198",58,7,2,0,0,1,3,2,0,18,17.68
"199",55,5,1,0,0,0,2,1,0,18,13.36
"200",43,5,2,0,0,0,3,2,0,23,11.6
"201",54,6,1.5,0,1,1,2,2,0,3,11.52
"202",39,5,1,0,0,1,2,2,0,1,9.98
"203",45,5,1,0,0,0,2,2,2,47,12.96
"204",42,5,1,0,0,0,0,1,0,21,11.13
"205",38.9,6,1,0,0,0,3,2,0,29,19.6
"206",37.5,4,1,0,1,0,0,2,1,23,20.66
"207",39,5,1.5,0,0,1,3,2,0,2,12.6
"208",43.215,4,1.5,0,1,1,3,2,0,0,11.52
"209",26.5,5,1,0,0,0,3,2,0,29,12.16
"210",30,6,1.5,0,0,1,2,2,0,24,12.8
"211",29.5,5,1,0,0,0,2,2,0,22,10.64
